2,11,,
0,1,Eliza_Resistance_Joy,전장을 완벽히 장악하셨군요, 적들을 서로 겨누게 하다니… 대단한 전략입니다.
1,1,Eliza_Resistance_Despair30,
2,1,Eliza_Resistance_Despair30,
3,0,Eliza_Resistance_Sad,(희생을 막지 못한다면… 끝없는 전투를 반복할 이유가 없다. 집중하자.)
4,1,Eliza_Resistance_Sad,…다음 임무를 전하겠습니다.
5,0,Eliza_Resistance_Despair30,작전지로 이동하지.
6,0,Eliza_Resistance_Despair30,
7,1,Eliza_Resistance_Despair30,네, 대장. 작전지로 출발합니다. 알렌을 위해!
8,1,Eliza_Resistance_Despair30,칼트 병력이 선술집을 오간다는 정보가 있습니다.
9,1,Eliza_Resistance_Despair30,그동안 쌓아온 지휘 능력을 발휘할 때입니다.
10,0,Eliza_Resistance_Despair30,(그 날의 전투, 희생...  몇 번을 되돌려도 선명하군.)
